KodePajak;KodeTransaksi;KodeStatus;KodeDokumen;FlagVAT;NPWP / Nomor Paspor;Lawan Transaksi;Nomor Faktur / Dokumen;Jenis Dokumen;Nomor Faktur Pengganti / Retur;Jenis Dokumen Dokumen Pengganti / Retur;Tanggal Faktur / Dokumen;TanggalSSP;MasaPajak;TahunPajak;Pembetulan;DPP;PPN;PPnBM
B;2;1;1;0;022073712641000;PT. ARVINDA JAYA ABADI;010.900-13.74815253;0;;;27/07/2013;;0707;2013;1;606274;60627;0
B;2;1;1;0;022073712641000;PT. ARVINDA JAYA ABADI;010.900-13.74815252;0;;;27/07/2013;;0707;2013;1;1072000;107200;0
B;2;1;1;0;022073712641000;PT. ARVINDA JAYA ABADI;010.900-13.74814999;0;;;19/07/2013;;0707;2013;1;606274;60627;0
B;2;1;1;0;012332094631000;PT. RITA SINAR INDAH;010.900-13.03232993;0;;;24/07/2013;;0707;2013;1;253045;25304;0
B;2;1;1;0;012332094631000;PT. RITA SINAR INDAH;010.900-13.03232971;0;;;18/07/2013;;0707;2013;1;189524;18952;0
B;2;1;1;0;012332094631000;PT. RITA SINAR INDAH;010.900-13.03232839;0;;;01/07/2013;;0707;2013;1;140772;14077;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.900-13.01184389;0;;;03/07/2013;;0707;2013;1;2700454;270046;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.900-13.01184386;0;;;03/07/2013;;0707;2013;1;2452041;245209;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.900-13.01184388;0;;;03/07/2013;;0707;2013;1;1325500;132550;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.900-13.01184387;0;;;03/07/2013;;0707;2013;1;1181587;118163;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04508952;0;;;17/07/2013;;0707;2013;1;1010633;101067;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04508953;0;;;17/07/2013;;0707;2013;1;3086180;308620;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04508955;0;;;17/07/2013;;0707;2013;1;1222225;122225;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04513344;0;;;17/07/2013;;0707;2013;1;1223905;122395;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04494920;0;;;10/07/2013;;0707;2013;1;2360815;236085;0
B;2;1;1;0;010000784092000;PT. KAO INDONESIA;010.901-13.04494919;0;;;10/07/2013;;0707;2013;1;1990089;199011;0
