142,MENTARIKU BRS PANGERAN WG PLN 2.5KG,271271,271271,7,5610000,4,2,0,15,0,0,5,0,0,0,0,0,0
143,MENTARIKU BRS PUTRI PUTIH PLN 2.5KG,271286,271286,7,5340000,4,2,0,15,0,0,5,0,0,0,0,0,0
144,MARLBORO ICE BLAST 20,271287,271287,7,1660000,4,2,0,15,0,0,5,0,0,0,0,0,0
145,PEAR SINCO KOREA,259784,259784,7,2450000,4,2,0,15,0,0,5,0,0,0,0,0,0
146,D.76 FILTER GOLD,271288,271288,7,830000,4,2,0,15,0,0,5,0,0,0,0,0,0
147,D.SUPER MILD 16,271289,271289,7,1200000,4,2,0,15,0,0,5,0,0,0,0,0,0
148,D.BLACK MILD 16,271290,271290,7,1030000,4,2,0,15,0,0,5,0,0,0,0,0,0
149,BRS MRH ORGANIK OLAM 2kG,271291,271291,7,3770000,4,2,0,15,0,0,5,0,0,0,0,0,0
150,BRS MRH ORGANIC GOLD RABBIT 1kG,271292,271292,7,1950000,4,2,0,15,0,0,5,0,0,0,0,0,0
151,HOTEL BLACK RICE ORGANIC 800g,271293,271293,7,3140000,4,2,0,15,0,0,5,0,0,0,0,0,0
152,FLORES ORGANIC BRS MERAH 2kg,271294,271294,7,4500000,4,2,0,15,0,0,5,0,0,0,0,0,0
153,FLORES ORGANIC BRS COKLAT,271295,271295,7,3690000,4,2,0,15,0,0,5,0,0,0,0,0,0
154,HOTEL RAINBOW RICE ORGANIC 800g,271296,271296,7,2420000,4,2,0,15,0,0,5,0,0,0,0,0,0
155,BERAS PUNEL BP Banyuwangi 10kg,271297,271297,7,8550000,4,2,0,15,0,0,5,0,0,0,0,0,0
156,BERAS PUNEL BP Banyuwangi 5kg,271298,271298,7,4525000,4,2,0,15,0,0,5,0,0,0,0,0,0
